Id,Category
7168,6
9876,3
78117,6
9626,1
29492,3
76947,2
40828,4
56277,2
7414,9
5468,5
28938,0
30088,6
42068,8
68207,7
44709,5
5924,8
41172,5
76338,0
12680,6
7205,7
104158,8
29479,3
10060,6
42367,9
78540,7
18689,2
68413,8
5542,5
39469,0
79039,9
12335,0
39749,1
78061,6
29498,3
29791,4
29651,4
56114,1
56270,2
67097,3
10167,6
89754,4
7417,9
9842,3
49706,4
12666,5
56458,4
5047,2
77401,4
7267,9
78191,6
9761,2
9825,3
53301,9
44687,4
30449,7
68706,9
68270,8
79077,9
10145,6
5520,5
29718,4
29042,1
53106,2
40478,3
29596,3
40489,3
56711,8
12494,1
40691,3
7418,9
49637,4
18852,4
5448,5
77319,3
69109,3
30657,9
68761,9
4599,0
18778,3
40476,3
40775,3
22915,8
29158,1
5821,8
29358,2
5402,4
77600,4
67640,5
4602,0
92518,5
40621,3
12546,2
28975,1
76908,2
9593,1
4806,1
49475,2
40240,2
78858,8
19154,8
92564,7
66551,0
49650,4
53035,0
56624,6
9708,2
67673,5
76525,1
77187,3
40593,3
78731,8
40602,3
49905,7
6800,0
7299,9
6789,0
78485,7
40658,3
53146,4
77484,4
42180,8
68724,9
43668,3
77242,3
76523,1
43845,7
39589,0
13442,0
71261,4
103817,4
40262,2
7053,4
10236,7
7033,4
89992,7
5406,4
12612,3
5329,4
30158,6
78779,8
7199,7
66879,2
78538,7
22912,8
49561,3
18933,5
28868,0
49615,3
41795,7
77636,4
5356,4
13623,9
5508,5
53115,3
10064,6
67860,6
39335,0
18683,2
68161,7
41037,4
68146,7
29793,4
69139,6
89862,5
43869,7
10381,8
39580,0
42106,8
78954,9
78605,8
9574,0
7404,9
39572,0
12400,1
40195,2
4857,1
10298,7
5758,7
30177,6
40207,2
49486,2
99354,8
78050,6
13452,1
18944,5
30691,9
103265,0
29725,4
40407,3
29722,4
78151,6
52037,2
30060,6
42409,9
78017,5
4869,1
56093,1
66804,1
99384,8
39446,0
39995,2
67868,6
78819,8
29958,5
56424,4
49459,2
41067,4
42515,9
67739,6
9590,1
49910,7
7047,4
29969,5
40376,3
40068,2
67883,6
76195,0
67121,3
39883,1
30199,6
67643,5
71282,5
49895,7
22886,7
99497,9
68432,8
76763,2
40588,3
5840,8
29518,3
49425,1
40499,3
40678,3
41984,7
4827,1
13565,6
77941,5
18796,3
91636,7
13620,8
78301,7
7293,9
22852,5
12654,5
9539,0
29456,3
18789,3
67147,3
5944,8
18727,2
9601,1
68053,7
30649,8
76258,0
9811,3
40577,3
76296,0
44610,2
68729,9
40051,2
43626,2
42273,9
66743,1
42190,8
4773,1
67207,3
78474,7
39750,1
67258,3
41621,6
13494,2
49646,4
41446,5
76524,1
40300,2
5869,8
22827,4
66838,1
40385,3
77947,5
53098,2
10474,9
10493,9
99477,9
89726,4
42197,8
86564,5
5231,3
29678,4
49730,5
39897,1
103373,0
56124,1
12439,1
76335,0
39327,0
41251,5
68492,8
43514,0
67930,6
99524,0
40028,2
76240,0
99399,8
29366,2
78416,7
13592,7
39432,0
41309,5
44583,1
76871,2
39514,0
99696,9
41318,5
78515,7
39780,1
41556,6
12401,1
77480,4
18599,1
78238,7
68742,9
53231,7
89370,0
77977,5
42400,9
99812,9
30836,9
44691,4
53086,1
43627,2
7354,9
10435,9
10091,6
42339,9
39312,0
56378,4
68148,7
44607,2
30466,7
79033,9
77878,5
29713,4
5874,8
104075,7
50843,3
49691,4
89922,6
89442,0
18679,2
44731,6
68752,9
99435,9
56643,7
29692,4
40857,4
99371,8
40360,3
56161,1
103310,0
49990,8
39456,0
43586,2
29867,5
56769,8
30508,8
76189,0
50883,5
56482,4
39597,0
76429,1
76230,0
7070,4
41377,5
77564,4
7488,9
12406,1
67630,5
78265,7
50088,9
77747,5
19145,8
29058,1
41889,7
103419,0
76792,2
39373,0
10190,7
76467,1
10028,5
56814,9
40825,4
40739,3
99183,6
78586,8
77599,4
77592,4
76538,1
68645,9
39510,0
56512,5
99511,0
89937,6
9856,3
99346,8
9656,1
6838,1
42417,9
77943,5
18780,3
69164,9
7085,5
43889,7
78380,7
29981,5
42407,9
39416,0
5554,6
7177,7
78217,7
78705,8
68584,9
49462,2
18677,2
49680,4
92387,0
41314,5
50798,1
29123,1
68079,7
67201,3
49823,6
41598,6
39879,1
40680,3
56510,5
78316,7
12566,2
68466,8
7324,9
78943,9
40411,3
69107,3
29100,1
42077,8
30159,6
6776,0
39573,0
49219,0
89436,0
10321,8
12565,2
41064,4
49341,1
12522,1
50031,8
10382,8
29229,2
56139,1
69096,2
76919,2
53241,7
30654,8
104128,8
41147,5
7269,9
7360,9
68115,7
49820,6
30249,7
30033,6
44613,2
12662,5
40573,3
77679,4
67440,5
4882,1
56423,4
12705,6
78396,7
56273,2
50113,9
68419,8
39986,2
40121,2
99680,9
29278,2
30690,9
44780,9
40972,4
18958,5
30426,7
40863,4
41471,5
66768,1
67628,5
50924,7
7248,8
30820,9
99212,6
10328,8
13579,6
12517,1
103746,4
5608,6
22779,2
68491,8
67713,6
41004,4
77482,4
68641,9
39323,0
19028,6
78850,8
22784,2
89949,6
40039,2
67359,4
69089,1
67489,5
40711,3
43860,7
50833,3
78107,6
66913,2
29273,2
29260,2
99362,8
5379,4
56493,5
68664,9
39650,1
50052,8
56206,2
42427,9
9800,3
9903,4
39558,0
7407,9
66935,2
30055,6
30205,7
78558,7
39677,1
77705,5
78998,9
66643,0
49711,5
77539,4
39860,1
77274,3
49855,6
76847,2
6829,0
70531,1
53104,2
99177,6
41692,6
39561,0
76884,2
40305,2
18785,3
41766,6
49491,2
18759,3
43755,5
49608,3
91557,4
10283,7
67677,5
5753,7
29797,4
5799,7
10406,9
76820,2
41383,5
39396,0
41840,7
10401,8
77377,4
13534,4
30589,8
7081,5
78744,8
67514,5
43861,7
6932,2
40103,2
53126,3
56764,8
68653,9
68152,7
99518,0
5285,4
78133,6
39895,1
22764,0
40386,3
4807,1
40047,2
28813,0
29840,5
49597,3
41100,4
40840,4
71309,6
56702,8
40446,3
53311,9
89800,4
68107,7
5482,5
42252,9
18816,3
28948,0
99247,6
10280,7
19031,6
12488,1
77975,5
5786,7
39425,0
29880,5
90103,8
68559,9
67841,6
29745,4
68291,8
90183,9
18749,2
40898,4
78682,8
18991,6
44616,2
103438,0
71278,4
44741,7
12700,6
18664,2
92502,4
67766,6
28985,1
91621,6
41408,5
5647,6
67087,3
41375,5
5813,7
42333,9
5099,2
5082,2
91597,5
67238,3
104023,7
42491,9
39870,1
29484,3
12381,0
67406,4
67957,7
56601,6
44568,1
10026,5
39763,1
89876,5
18641,2
77232,3
5899,8
49507,2
41536,6
67749,6
5457,5
69113,4
4842,1
30345,7
56757,8
28878,0
7023,4
99342,8
78662,8
12734,7
50100,9
12633,3
67134,3
103307,0
90095,8
67467,5
7413,9
40820,4
68151,7
41656,6
40146,2
5065,2
69090,1
40821,4
22789,2
68681,9
99519,0
4694,0
30109,6
89809,4
50849,4
103769,4
12553,2
